t_index	term	df
1124	arrog	3
1125	arrow	4
1126	arsen	10
1127	arseni	1
1128	arsonist	1
1129	art	11
1130	arthriti	1
1131	arthur	4
1132	articl	5
1133	articul	1
1134	artifact	1
1135	artifici	4
1136	artist	4
1137	artudo	1
1138	arturo	6
1139	aruba	2
1140	aryapov	1
1141	asa	1
1142	asahi	1
1143	ascend	1
1144	ascrib	4
1145	asean	1
1146	ash	5
1147	asham	1
1148	ashcroft	56
1149	ashkroft	1
1150	ashok	1
1151	ashor	2
1152	ashraf	1
1153	ashtray	1
1154	asia	32
1155	asian	15
1156	asid	30
1157	ask	196
1158	aspect	11
1159	aspir	2
1160	assad	1
1161	assail	4
1162	assam	6
1163	assassin	21
1164	assault	28
1165	assembl	19
1166	assert	17
1167	assess	48
1168	asset	10
1169	assign	24
1170	assist	76
1171	associ	119
1172	assort	1
1173	assum	38
1174	assumpt	7
1175	assur	35
1176	assuredli	2
1177	astakhov	12
1178	asterisk	2
1179	astonish	7
1180	astound	2
1181	astronom	1
1182	astut	1
1183	asylum	29
1184	asymmetr	2
1185	atal	13
1186	atck	2
1187	ate	4
1188	atf	2
1189	atfein	1
1190	ath	1
1191	athal	1
1192	athlet	3
1193	atlant	15
1194	atlanta	6
1195	atmat	1
1196	atmospher	10
1197	atom	4
1198	atop	13
1199	atp	3
1200	atroc	10
1201	atrophi	1
1202	attach	15
1203	attack	306
1204	attain	1
1205	attar	1
1206	attempt	112
1207	attend	68
1208	attent	64
1209	attest	2
1210	attitud	10
1211	attorney	58
1212	attract	15
1213	attribut	12
1214	attrit	1
1215	atwan	1
1216	aubrey	19
1217	aubri	5
1218	audienc	16
1219	audio	4
1220	audiotap	1
1221	auditor	5
1222	auditorium	1
1223	aug	33
1224	augment	1
1225	august	32
1226	aunt	2
1227	aur	5
1228	aura	1
1229	aurora	4
1230	ausi	1
1231	aussi	9
1232	auster	2
1233	austin	18
1234	australia	23
1235	australian	72
1236	austria	3
1237	austrian	1
1238	austro	1
1239	authent	2
1240	author	255
1241	authoritarian	27
1242	auto	1
1243	autocrat	27
1244	autograph	1
1245	autom	1
1246	automat	18
1247	automobil	4
1248	autonom	1
1249	autonomi	3
1250	autopilot	1
1251	autopsi	1
1252	autumn	2
1253	avail	44
1254	avala	1
1255	avalanch	1
